"","practicecode","postcode","healthboard","ageband","malecount","femalecount","indeterminatecount","count","year","month","lsoa"
"224","W93001","NP11 5GX","Aneurin Bevan",4,46,36,0,82,2020,"April","W01001327"
"225","W93001","NP11 5GX","Aneurin Bevan",5,49,49,0,98,2020,"April","W01001327"
"226","W93001","NP11 5GX","Aneurin Bevan",6,49,38,0,87,2020,"April","W01001327"
"227","W93001","NP11 5GX","Aneurin Bevan",7,58,35,0,93,2020,"April","W01001327"
"228","W93001","NP11 5GX","Aneurin Bevan",8,50,45,0,95,2020,"April","W01001327"
"229","W93001","NP11 5GX","Aneurin Bevan",9,44,39,0,83,2020,"April","W01001327"
"230","W93001","NP11 5GX","Aneurin Bevan",10,51,43,0,94,2020,"April","W01001327"
"231","W93001","NP11 5GX","Aneurin Bevan",11,53,31,0,84,2020,"April","W01001327"
"232","W93001","NP11 5GX","Aneurin Bevan",12,41,51,0,92,2020,"April","W01001327"
"233","W93001","NP11 5GX","Aneurin Bevan",13,53,30,0,83,2020,"April","W01001327"
"234","W93001","NP11 5GX","Aneurin Bevan",14,39,43,0,82,2020,"April","W01001327"
"235","W93001","NP11 5GX","Aneurin Bevan",15,40,45,0,85,2020,"April","W01001327"
"236","W93001","NP11 5GX","Aneurin Bevan",16,44,54,0,98,2020,"April","W01001327"
"237","W93001","NP11 5GX","Aneurin Bevan",17,42,31,0,73,2020,"April","W01001327"
"238","W93001","NP11 5GX","Aneurin Bevan",18,32,43,0,75,2020,"April","W01001327"
"239","W93001","NP11 5GX","Aneurin Bevan",19,39,33,0,72,2020,"April","W01001327"
"240","W93001","NP11 5GX","Aneurin Bevan",20,42,26,0,68,2020,"April","W01001327"
"241","W93001","NP11 5GX","Aneurin Bevan",21,46,51,0,97,2020,"April","W01001327"
"242","W93001","NP11 5GX","Aneurin Bevan",22,43,41,0,84,2020,"April","W01001327"
"243","W93001","NP11 5GX","Aneurin Bevan",23,56,47,0,103,2020,"April","W01001327"
"244","W93001","NP11 5GX","Aneurin Bevan",24,42,44,0,86,2020,"April","W01001327"
"245","W93001","NP11 5GX","Aneurin Bevan",25,47,37,0,84,2020,"April","W01001327"
"246","W93001","NP11 5GX","Aneurin Bevan",26,56,52,0,108,2020,"April","W01001327"
"247","W93001","NP11 5GX","Aneurin Bevan",27,46,43,0,89,2020,"April","W01001327"
"248","W93001","NP11 5GX","Aneurin Bevan",28,46,58,0,104,2020,"April","W01001327"
"249","W93001","NP11 5GX","Aneurin Bevan",29,67,56,0,123,2020,"April","W01001327"
"250","W93001","NP11 5GX","Aneurin Bevan",30,57,64,0,121,2020,"April","W01001327"
"251","W93001","NP11 5GX","Aneurin Bevan",31,50,59,0,109,2020,"April","W01001327"
"252","W93001","NP11 5GX","Aneurin Bevan",32,44,54,0,98,2020,"April","W01001327"
"253","W93001","NP11 5GX","Aneurin Bevan",33,48,55,0,103,2020,"April","W01001327"
"254","W93001","NP11 5GX","Aneurin Bevan",34,61,62,0,123,2020,"April","W01001327"
"255","W93001","NP11 5GX","Aneurin Bevan",35,49,54,0,103,2020,"April","W01001327"
"256","W93001","NP11 5GX","Aneurin Bevan",36,53,40,0,93,2020,"April","W01001327"
"257","W93001","NP11 5GX","Aneurin Bevan",37,66,55,0,121,2020,"April","W01001327"
"258","W93001","NP11 5GX","Aneurin Bevan",38,45,43,0,88,2020,"April","W01001327"
"259","W93001","NP11 5GX","Aneurin Bevan",39,53,57,0,110,2020,"April","W01001327"
"260","W93001","NP11 5GX","Aneurin Bevan",40,50,37,0,87,2020,"April","W01001327"
"261","W93001","NP11 5GX","Aneurin Bevan",41,32,57,0,89,2020,"April","W01001327"
"262","W93001","NP11 5GX","Aneurin Bevan",42,40,34,0,74,2020,"April","W01001327"
"263","W93001","NP11 5GX","Aneurin Bevan",43,51,49,0,100,2020,"April","W01001327"
"264","W93001","NP11 5GX","Aneurin Bevan",44,53,52,0,105,2020,"April","W01001327"
"265","W93001","NP11 5GX","Aneurin Bevan",45,55,46,0,101,2020,"April","W01001327"
"266","W93001","NP11 5GX","Aneurin Bevan",46,42,57,0,99,2020,"April","W01001327"
"267","W93001","NP11 5GX","Aneurin Bevan",47,46,51,0,97,2020,"April","W01001327"
"268","W93001","NP11 5GX","Aneurin Bevan",48,55,55,0,110,2020,"April","W01001327"
"269","W93001","NP11 5GX","Aneurin Bevan",49,54,63,0,117,2020,"April","W01001327"
"270","W93001","NP11 5GX","Aneurin Bevan",50,40,52,0,92,2020,"April","W01001327"
"271","W93001","NP11 5GX","Aneurin Bevan",51,67,50,0,117,2020,"April","W01001327"
"272","W93001","NP11 5GX","Aneurin Bevan",52,57,54,0,111,2020,"April","W01001327"
"273","W93001","NP11 5GX","Aneurin Bevan",53,58,56,0,114,2020,"April","W01001327"
"274","W93001","NP11 5GX","Aneurin Bevan",54,67,61,0,128,2020,"April","W01001327"
"275","W93001","NP11 5GX","Aneurin Bevan",55,58,41,0,99,2020,"April","W01001327"
"276","W93001","NP11 5GX","Aneurin Bevan",56,50,39,0,89,2020,"April","W01001327"
"277","W93001","NP11 5GX","Aneurin Bevan",57,41,57,0,98,2020,"April","W01001327"
"278","W93001","NP11 5GX","Aneurin Bevan",58,55,44,0,99,2020,"April","W01001327"
"279","W93001","NP11 5GX","Aneurin Bevan",59,55,56,0,111,2020,"April","W01001327"
"280","W93001","NP11 5GX","Aneurin Bevan",60,44,45,0,89,2020,"April","W01001327"
"281","W93001","NP11 5GX","Aneurin Bevan",61,51,45,0,96,2020,"April","W01001327"
"282","W93001","NP11 5GX","Aneurin Bevan",62,39,40,0,79,2020,"April","W01001327"
"283","W93001","NP11 5GX","Aneurin Bevan",63,50,37,0,87,2020,"April","W01001327"
"284","W93001","NP11 5GX","Aneurin Bevan",64,23,49,0,72,2020,"April","W01001327"
"285","W93001","NP11 5GX","Aneurin Bevan",65,40,31,0,71,2020,"April","W01001327"
"286","W93001","NP11 5GX","Aneurin Bevan",66,36,51,0,87,2020,"April","W01001327"
"287","W93001","NP11 5GX","Aneurin Bevan",67,33,37,0,70,2020,"April","W01001327"
"288","W93001","NP11 5GX","Aneurin Bevan",68,38,42,0,80,2020,"April","W01001327"
"289","W93001","NP11 5GX","Aneurin Bevan",69,32,37,0,69,2020,"April","W01001327"
